,Name,Country,MMSI,Type,Size,DWT,Year,Area
545,AIAKOS,Greece,237592700,Ro-Ro/Passenger Ship,1394,717,2002,Aegean Sea
546,NILS DACKE,Cyprus,212499000,Ro-Ro/Passenger Ship,5012,6538,1995,Baltic Sea
547,ARCHON MICHAEL,Palau,511100571,General Cargo,1040,1600,1979,Aegean Sea
548,MARGARETE SCHULTE,Malta,249837000,Container Ship,6300,34457,2006,North Sea
549,CITY OF WESTMINSTER,United Kingdom,232000790,Suction Dredger,1683,6604,1990,North Sea
550,FINNSEA,Finland,230618000,Ro-Ro Cargo,5886,11029,2011,Gulf of Finland
551,OBERON,Sweden,266283000,Vehicles Carrier,7424,30134,2008,North Sea
552,SUSANNE THERESA,Denmark,220447000,Oil/Chemical Tanker,1302,3464,2006,North Sea
553,STOLT SHEARWATER,Cayman Is,319402000,Oil/Chemical Tanker,1536,5498,1998,North Sea
554,PUTFORD VIKING,United Kingdom,232003319,Standby Safety Vessel,840,2069,1976,North Sea
555,HNLMS LUYMES,Netherlands,245939000,Naval Research Vessel,1148,825,2004,North Sea
556,SMART RISING,Panama,370335000,General Cargo,1600,6053,2009,North Pacific Ocean
557,MAI LEHMANN,Antigua Barbuda,305804000,General Cargo,1260,4135,1999,Kattegat
558,DEE FISHER,Gibraltar,236445000,Oil/Chemical Tanker,1500,4653,2006,North Sea
559,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
560,ESTRADEN,Finland,230917000,Ro-Ro Cargo,4238,9741,1999,North Sea
561,DIAMANTGRACHT,Netherlands,244142000,General Cargo,3611,17966,2009,Ionian Sea
562,SOUND SOLUTION,Gibraltar,236111925,Utility Vessel,250,172,2009,Baltic Sea
563,ARGONAUT,Denmark,219461000,Suction Dredger,963,600,1960,Kattegat
564,MSC CAROUGE,Portugal,255805617,Container Ship,11320,47350,2007,English Channel
565,STENA  FLAVIA,Denmark,219560000,Ro-Ro/Passenger Ship,4650,7000,2008,Baltic Sea
566,PRESTIGIOUS,Marshall Is,538007608,Oil Products Tanker,7328,72908,2003,Gulf of Oman
567,HOKUYO MARU,Japan,431501083,Limestone Carrier,2460,10750,1998,North Pacific Ocean
568,GNV AZZURRA,Italy,247237700,Ro-Ro/Passenger Ship,4563,3630,1981,Ionian Sea
569,IBAIZABAL OCHO,Spain,224640870,Tug,360,413,2010,Bay of Biscay
570,BETTY K VIII,Cook Is,518630000,General Cargo,1001,1492,1984,North Atlantic Ocean
571,COASTAL CHARIOT,Netherlands,244770069,Work Vessel,396,247,2014,Baltic Sea
572,WOLF,Germany,218767000,Tug,256,180,1993,North Sea
573,SOVEREIGN,USA,367546770,Offshore Supply Ship,612,1200,1980,The Coastal Waters of Southeast Alaska and British Columbia
574,GRANDE DETROIT,Italy,247186300,Vehicles Carrier,5456,12420,2005,North Sea
575,MV GRAND TAJIMA ONE,Panama,355438000,General Cargo,2520,12922,2006,Gulf of Thailand
576,CELTIC WARRIOR,United Kingdom,235108405,General Cargo,1260,4123,1996,Kattegat
577,HERMES,Greece,240391000,Tug,243,183,1993,Ionian Sea
578,FICARIA SEAWAYS,Denmark,220464000,Ro-Ro Cargo,6930,14300,2006,North Sea
579,SYN ZUBE,Italy,247235100,Lpg Tanker,1400,4027,2008,North Sea
580,NORDNES,Netherlands,244962000,Pipe Burying Vessel,4316,25063,2001,North Sea
581,WILSON SAGA,Norway,257077520,General Cargo,1695,6489,1998,North Sea
582,HARUN,Cyprus,209531000,General Cargo,1554,6000,2008,North Sea
583,BILLEFJORD,Faroe Is,231219000,Passengers Ship,280,114,1986,Norwegian Sea
584,BETTY K VIII,Cook Is,518630000,General Cargo,1001,1492,1984,North Atlantic Ocean
585,EN AVANT 20,Netherlands,244790685,Tug,384,254,2007,North Sea
586,EEMS-DART,Gibraltar,236453000,General Cargo,1068,3725,2002,North Sea
587,SEATRUCK POWER,United Kingdom,235090183,Ro-Ro Cargo,3692,5300,2012,Irish Sea and St. George's Channel
588,WARNOW CHIEF,Cyprus,209138000,Container Ship,4500,21191,2009,Coral Sea
589,WILD PEONY,Bahamas,311000804,Reefer,3300,10110,1998,Skaggerak
590,POLAN,Panama,373888000,Crude Oil Tanker,8288,76020,1999,Persian Gulf
591,EM HYDRA,Liberia,636014956,Container Ship,4698,23679,2005,North Atlantic Ocean
592,MILA,Moldova,214182784,General Cargo,1482,4361,1972,Sea of Marmara
593,AYER MANIS,Singapore,563001270,Water Tanker,387,499,1993,Singapore Strait
594,DEUTSCHLAND,Germany,211188000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
595,TAYEB 1,Morocco,242134100,Tug,208,110,2013,North Atlantic Ocean
596,LADY OF CHICHESTER,Malta,249127000,Suction Dredger,720,1726,1970,North Sea
597,TUZLA,Vanuatu,577537000,General Cargo,1204,3943,1980,Sea of Marmara
598,SHARON M I,Canada,316024256,Tug,385,359,1994,North Atlantic Ocean
599,STAVANGERFJORD,Norway,259386000,Ro-Ro/Passenger Ship,2451,1025,2007,North Sea
600,SJERNAROY,Norway,259593000,Ro-Ro/Passenger Ship,910,405,1999,North Sea
601,LA SUPERBA,Italy,247056100,Ro-Ro/Passenger Ship,6510,9750,2002,Tyrrhenian Sea
602,GLOBAL MERMAID,Panama,370295000,Bulk Carrier,5133,33738,2010,Tasman Sea
603,NORNE,Norway,258763000,General Cargo,1410,4818,1996,Kattegat
604,FAIRPLAY 24,Antigua Barbuda,305440000,Tug,385,317,1998,North Sea
605,TANKSKAR,Sweden,265550210,Tanker,296,333,1955,Kattegat
606,ENFORCER,Netherlands,244597000,Container Ship,2835,9450,2004,Baltic Sea
607,GOLDEN DRAGON 338,Hong Kong,477995140,Oil Products Tanker,1250,1600,2006,South China Sea
608,ALAND,United Kingdom,235050837,General Cargo,1972,7055,2007,Gulf of Finland
609,RAMFORM VANGUARD,Norway,257773000,Research/Survey Vessel,3400,5200,1999,Aegean Sea
610,VISSEL,Luxembourg,253736000,Oil Products Tanker,744,1561,2007,North Sea
611,ORIENTAL NAVIGATOR,Korea,441969000,Bulk Carrier,13005,172940,1999,North Pacific Ocean
612,ANDOR,Russia,273383040,General Cargo,1391,3506,1974,Black Sea
613,WHITSTAR,United Kingdom,235007880,Oil Products Tanker,1050,3185,2004,Strait of Gibraltar
614,PIONEER,Netherlands,246646000,General Cargo,2112,11048,2010,Baltic Sea
615,MAERSK RESOLVE,Singapore,563486000,Drilling Jack Up,18900,5098,2009,North Sea
616,SPECIALITY,United Kingdom,235098053,Oil/Chemical Tanker,1710,4426,2006,North Sea
617,GROTON,Liberia,636017309,Container Ship,6360,34554,2002,North Pacific Ocean
618,LADY ANNEKE,Netherlands,246855000,General Cargo,1144,3718,2012,Baltic Sea
619,WILSON TEES,Barbados,314554000,General Cargo,1144,3695,1997,Baltic Sea
620,FREDERIK,Antigua Barbuda,304374000,Container Ship,3875,18457,2005,North Atlantic Ocean
621,TRANSUND,Malta,249863000,General Cargo,3146,16612,2002,Gulf of Finland
622,EMERALD INDAH,Singapore,564749000,Bulk Carrier,8208,77734,1998,Eastern China Sea
623,WAN HAI 311,Singapore,563485000,Container Ship,6816,32937,2005,North Pacific Ocean
624,MSC POH LIN,Panama,357405000,Container Ship,9114,66786,2004,North Pacific Ocean
625,SIEM AMETHYST,Norway,259801000,Anchor Handling Vessel,2024,4250,2011,Great Australian Bight
626,RAQUEL S,Portugal,255806136,Container Ship,4816,21442,2009,North Atlantic Ocean
627,MEGA ANDREA,Italy,247356500,Ro-Ro/Passenger Ship,4760,3720,1986,Mediterranean Sea - Western Basin
628,EMMAKRIS III,Panama,357807000,Bulk Carrier,7200,73281,2000,Mediterranean Sea - Eastern Basin
629,KRISTIN,Antigua Barbuda,305486000,General Cargo,1632,4139,1986,Baltic Sea
630,IEVOLI BLACK,Italy,247332100,Anchor Handling Vessel,1120,2064,2010,Inner Seas off the West Coast of Scotland
631,TERNVAG,Denmark,219081000,Oil/Chemical Tanker,3102,14803,2003,Kattegat
632,RUTH BORCHARD,Marshall Is,538005024,Container Ship,4293,15313,2000,Mediterranean Sea - Eastern Basin
633,CLYDE FISHER,Bahamas,311855000,Oil/Chemical Tanker,2540,12984,2005,North Sea
634,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
635,SUPERSPEED 1,Norway,259490000,Ro-Ro/Passenger Ship,5512,5400,2008,Skaggerak
636,HASAN G,Guyana,750994000,General Cargo,1785,6830,1996,Aegean Sea
637,LEADER M,Togo,671550000,General Cargo,1410,5028,1977,Mediterranean Sea - Eastern Basin
638,INCE BEYLERBEYI,Singapore,563088400,Bulk Carrier,6368,61429,2012,Mediterranean Sea - Eastern Basin
639,GOLDEN STAR 1,Panama,370591000,General Cargo,3300,2444,1995,Singapore Strait
640,VIZANTIN,Russia,273420740,General Cargo,1482,3346,1973,Black Sea
641,DOBRYNYA,Russia,273351080,Tug,261,139,2010,Gulf of Finland
642,IEVOLI BLACK,Italy,247332100,Anchor Handling Vessel,1120,2064,2010,Inner Seas off the West Coast of Scotland
643,WILSON GIJON,Barbados,314194000,General Cargo,1144,3689,1993,North Sea
644,ANAFI WARRIOR,Greece,241408000,Crude Oil Tanker,9954,107593,2009,Aegean Sea
645,MARIA COSULICH,Singapore,565006000,Oil Products Tanker,1782,7032,2005,Singapore Strait
646,MAINE EHIME,Marshall Is,538004793,Bulk Carrier,6080,58105,2012,Tasman Sea
647,OCEAN TULIP,Marshall Is,538007242,Bulk Carrier,6048,52481,2006,Gulf of Oman
648,SAIPEM CONSTELLATION,Bahamas,311000806,Pipelay Crane Vessel,8544,32000,2014,North Atlantic Ocean
649,MEGA ANDREA,Italy,247356500,Ro-Ro/Passenger Ship,4760,3720,1986,Mediterranean Sea - Western Basin
650,ANL WANGARATTA,Malta,215167000,Container Ship,8613,50596,2008,Alboran Sea
651,MEDWAY,Cyprus,209416000,Trailing Suction Hopper Dredger,2520,7347,2012,North Sea
652,PERSEUS,Latvia,275524000,Container Ship,2394,7594,1995,North Sea
653,AYER MANIS,Singapore,563001270,Water Tanker,387,499,1993,Singapore Strait
654,COMMODORE CLIPPER,Bahamas,308094000,Ro-Ro/Passenger Ship,3380,4504,1999,English Channel
655,ESPOIR,Netherlands,244279000,Container Ship,4368,21231,2011,Baltic Sea
656,NORWEGIAN SPIRIT,Bahamas,311746000,Passengers Ship,9684,8530,1998,South China Sea
657,SATURN,Estonia,276588000,Tug,152,46,2004,Gulf of Bothnia
658,MSC MELATILDE,Panama,357240000,Container Ship,18250,165477,2010,North Sea
659,LADY ANNEKE,Netherlands,246855000,General Cargo,1144,3718,2012,Baltic Sea
660,ELBSUN,Portugal,255806370,Container Ship,3243,11000,2012,Gulf of Finland
661,SENATA,Luxembourg,253683000,Bulk Carrier,2820,12898,2008,Sea of Marmara
662,TAURUS,Poland,261003330,Tug,300,125,2001,Baltic Sea
663,AMBER ARROW,Bahamas,311695000,Vehicles Carrier,6400,21120,2004,The Coastal Waters of Southeast Alaska and British Columbia
664,LA GIRONDE,France,227009610,Ro-Ro/Passenger Ship,1404,600,2002,Bay of Biscay
665,EBENEZER,Australia,503000370,General Cargo,336,1000,1996,Tasman Sea
666,RO MASTER,Norway,259183000,Fish Carrier,1080,3090,2007,Norwegian Sea
667,PAROS,Panama,354290000,Crude Oil Tanker,10374,107197,2003,Mediterranean Sea - Eastern Basin
668,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
669,AFON CADNANT,Cyprus,209895000,Anchor Handling Vessel,385,315,2007,Persian Gulf
670,BEKS SWAN,Marshall Is,538009800,Crude Oil Tanker,10290,108929,2009,Gulf of Oman
671,GOLDEN STAR 1,Panama,370591000,General Cargo,3300,2444,1995,Singapore Strait
672,GREEN KARMOY,Bahamas,311009400,Reefer,1962,6120,1989,North Atlantic Ocean
673,MAZARINE,Malta,249673000,Ro-Ro Cargo,5096,14552,2009,North Sea
674,AKUL,Poland,261521000,Tug,320,300,2003,Baltic Sea
675,WADI SAFAD,UAE,470533000,Tug,245,378,1999,Gulf of Oman
676,SUN VIEW,Korea,441716000,General Cargo,1764,6397,2000,Yellow Sea
677,HORIZON GEODISCOVERY,Panama,355847000,Offshore Supply Ship,1660,4195,2002,North Sea
678,FAIRPLAY-34,Antigua Barbuda,304027000,Tug,518,627,2010,North Sea
679,MV CORAL STAR,Cyprus,209849000,Container Ship,6660,39316,2006,Persian Gulf
680,EMINENCE,Singapore,565894000,Oil Products Tanker,516,668,2010,Singapore Strait
681,KRISTIN,Antigua Barbuda,305486000,General Cargo,1632,4139,1986,Baltic Sea
682,TRUBADUREN,Sweden,265579090,Passengers Ship,320,51,1966,Kattegat
683,DIDE,Germany,211254620,General Cargo,280,310,1901,North Sea
684,ZEEZAND EXPRESS,Netherlands,246384000,Trailing Suction Hopper Dredger,720,1500,1982,North Sea
685,NORWEGIAN SPIRIT,Bahamas,311746000,Passengers Ship,9684,8530,1998,South China Sea
686,RASANT,Italy,247599000,Pusher Tug,240,78,1973,Adriatic Sea
687,MSC MELATILDE,Panama,357240000,Container Ship,18250,165477,2010,North Sea
688,TZAREVICH,Malta,248306000,Bulk Carrier,4200,21470,1998,Adriatic Sea
689,HAMBURG. S,Palau,511100513,General Cargo,2304,10560,1993,Mediterranean Sea - Eastern Basin
690,ENFORCER,Netherlands,244597000,Container Ship,2835,9450,2004,Baltic Sea
691,COSMO,Italy,247079700,Oil/Chemical Tanker,1700,5885,2003,North Sea
692,VB ROENNEBECK,Germany,211717470,Tug,270,144,1977,North Sea
693,PAROS,Panama,354290000,Crude Oil Tanker,10374,107197,2003,Mediterranean Sea - Eastern Basin
694,FIGARO,Sweden,266338000,Vehicles Carrier,7392,30140,2011,North Sea
695,BKM 102,Cyprus,210952000,Utility Vessel,260,226,1999,South China Sea
696,CETUS,Morocco,242761300,Trawler,583,1181,1987,North Atlantic Ocean
697,LADY ANNEKE,Netherlands,246855000,General Cargo,1144,3718,2012,Baltic Sea
698,DAISY,Ukraine,272793000,General Cargo,1368,3353,1981,Sea of Marmara
699,ACCORD,Greece,239998600,Oil Products Tanker,1155,2562,1983,Aegean Sea
700,CLYDE FISHER,Bahamas,311855000,Oil/Chemical Tanker,2540,12984,2005,North Sea
701,URAN,Poland,261269000,Tug,279,251,2001,Baltic Sea
702,RO MASTER,Norway,259183000,Fish Carrier,1080,3090,2007,Norwegian Sea
703,VOIMA,Finland,230291000,Icebreaker,1680,4486,1954,Gulf of Finland
704,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
705,STENBERG,Norway,259079000,Oil/Chemical Tanker,3312,16600,2003,North Sea
706,TRANSUND,Malta,249863000,General Cargo,3146,16612,2002,Gulf of Finland
707,MAZARINE,Malta,249673000,Ro-Ro Cargo,5096,14552,2009,North Sea
708,FLORETGRACHT,Netherlands,246614000,General Cargo,2603,12067,2012,North Sea
709,ALEGRE III,Marshall Is,538007717,Bulk Carrier,6048,55808,2007,The Coastal Waters of Southeast Alaska and British Columbia
710,CAPITAINE DAMPIER,Singapore,563007700,Container Ship,4810,22968,2001,South Pacific Ocean
711,JORK RULER,Cyprus,210008000,Container Ship,2961,9331,2006,English Channel
712,EUROLEADER,Liberia,636018733,Crude Oil Tanker,13152,159062,2005,Gulf of Oman
713,BERENICE PRIDE,Panama,357776000,Oil Products Tanker,7296,68467,2001,Gulf of Oman
714,TA CHENG,Taiwan,416004109,General Cargo,1485,4433,1995,South China Sea
715,YM PLUTO,Malta,249957000,Oil/Chemical Tanker,2040,6970,2009,Ligurian Sea
716,THUN GRANITE,Netherlands,244734000,Oil/Chemical Tanker,1725,7559,2004,North Sea
717,REGINA OLDENDORFF,Liberia,636092979,Bulk Carrier,11180,118000,2011,Indian Ocean
718,MSC SAMIRA III,Liberia,636020952,Container Ship,6360,34295,2009,Kattegat
719,SAAM UXMAL,Mexico,345160012,Tug,234,134,2009,Gulf of Mexico
720,IRMGARD,Cayman Is,319137500,Bulk Carrier,5400,38167,2012,Baltic Sea
721,AMADEUS DIAMOND,Netherlands,245014000,General Cargo,1080,2953,2001,North Sea
722,HAV PIKE,Antigua Barbuda,304036000,General Cargo,1144,3718,1994,North Sea
723,RMS RATINGEN,Liberia,636093015,General Cargo,968,2644,2002,Baltic Sea
724,FLUVIUS TEIGN,Barbados,314021000,General Cargo,972,3680,2005,North Sea
725,PENGALIA,Portugal,255806347,Container Ship,2580,8267,2008,North Sea
726,NINA 1,St Vincent Grenadines,377764000,General Cargo,780,1485,1984,North Sea
727,OBREGON,USA,367240000,Logistics Naval Vessel,8000,25073,1982,North Atlantic Ocean
728,TINA,Netherlands,245301000,General Cargo,1144,3500,2010,North Sea
729,BJOERN M,Germany,211225410,General Cargo,432,480,1955,North Sea
730,FAIRPLAY-54,Germany,211216480,Tug,252,102,1991,North Sea
731,CLEMENTINE,Belgium,205451000,Ro-Ro Cargo,4050,9655,1997,North Sea
732,VOGE TRUST,Liberia,636091701,Oil/Chemical Tanker,4941,38349,2009,Aegean Sea
733,PAVINO,Panama,356161000,Oil/Chemical Tanker,1802,5707,2005,North Sea
734,VF TANKER-11,Russia,273357860,Oil Products Tanker,2397,6980,2012,North Sea
735,BERGSTRAUM,Norway,259319000,Oil/Chemical Tanker,2460,9494,1996,North Sea
736,FREDERIK,Antigua Barbuda,304374000,Container Ship,3875,18457,2005,North Atlantic Ocean
737,PERSEUS,Latvia,275524000,Container Ship,2394,7594,1995,North Sea
738,PATNOS,Portugal,255718000,Oil/Chemical Tanker,3312,16714,2006,North Sea
739,MAX,Netherlands,246910000,Tug,243,200,2012,Baltic Sea
740,FELIX,Netherlands,244890853,Tug,192,89,1988,North Sea
741,ASTRID,Morocco,242123400,Fishing Vessel,420,880,1997,North Atlantic Ocean
742,ANNA G,Cyprus,212075000,Container Ship,1818,5330,1994,North Sea
743,REGGANE,Liberia,636011212,Lpg Tanker,8280,54592,1999,Alboran Sea
744,RO MASTER,Norway,259183000,Fish Carrier,1080,3090,2007,Norwegian Sea
745,ROJAREK NAREE,Thailand,567108000,Bulk Carrier,4590,29870,2005,Strait of Gibraltar
746,CASTELO DE SINES,Portugal,263624000,Tug,360,304,2009,North Atlantic Ocean
747,WIGEON,Liberia,636016656,Bulk Carrier,4800,37238,2007,Gulf of Finland
748,ASTERIA LEADER,Japan,431024000,Vehicles Carrier,6368,21349,2010,North Pacific Ocean
749,HYUNDAI HONGKONG,Cyprus,212348000,Container Ship,12160,80102,2006,The Coastal Waters of Southeast Alaska and British Columbia
750,STEN HIDRA,Norway,258751000,Oil/Chemical Tanker,3312,16670,2007,North Sea
751,BOMLO,Norway,259344000,Ro-Ro/Passenger Ship,2320,3105,2005,North Sea
752,GORGONA,Italy,247164900,Oil Products Tanker,1125,2783,2006,Tyrrhenian Sea
753,RAMFORM VANGUARD,Norway,257773000,Research/Survey Vessel,3400,5200,1999,Aegean Sea
754,CAP CAPRICORN,Liberia,636015660,Container Ship,8436,51931,2013,Mediterranean Sea - Eastern Basin
755,KALITVA,Russia,273437050,General Cargo,1620,3174,1974,Sea of Marmara
756,JSP SLIDUR,Portugal,255806280,Container Ship,2948,11433,2007,North Sea
757,MARS SUN,Liberia,636016505,Crude Oil Tanker,10248,115536,2006,Black Sea
758,JOHN AUGUSTUS ESSBER,Portugal,255806060,Oil/Chemical Tanker,1904,6870,2010,Baltic Sea
759,THOPAS,Cyprus,209143000,General Cargo,1056,3290,1994,Kattegat
760,ISEFJORD,Denmark,219017815,Ro-Ro/Passenger Ship,600,184,2013,Kattegat
761,SAAM UXMAL,Mexico,345160012,Tug,234,134,2009,Gulf of Mexico
762,NYSAND,Norway,257040600,General Cargo,432,550,1965,North Sea
763,LIBURNA,Italy,247044300,Ro-Ro/Passenger Ship,1136,480,1988,Tyrrhenian Sea
764,RO MASTER,Norway,259183000,Fish Carrier,1080,3090,2007,Norwegian Sea
765,HORIZON THEANO,Liberia,636014285,Oil/Chemical Tanker,5856,50268,2009,Alboran Sea
766,HAN DE,Hong Kong,477743400,General Cargo,2160,8115,1993,Singapore Strait
767,LADY HESTER,Netherlands,244997000,General Cargo,1358,3500,2011,Kattegat
768,THUN GRANITE,Netherlands,244734000,Oil/Chemical Tanker,1725,7559,2004,North Sea
769,VIKING EMERALD,Marshall Is,538009730,Vehicles Carrier,4676,12500,2012,Singapore Strait
770,LOTUS SAMBU,Korea,441587000,Oil/Chemical Tanker,2016,8027,2009,Eastern China Sea
771,FREDERIK,Antigua Barbuda,304374000,Container Ship,3875,18457,2005,North Atlantic Ocean
772,AF CLAUDIA,Italy,247391700,Ro-Ro/Passenger Ship,4836,7500,2001,Adriatic Sea
773,VOGE TRUST,Liberia,636091701,Oil/Chemical Tanker,4941,38349,2009,Aegean Sea
774,CMA CGM ARISTOTE,Brazil,710004792,Container Ship,4590,21267,2007,South Atlantic Ocean
775,OBREGON,USA,367240000,Logistics Naval Vessel,8000,25073,1982,North Atlantic Ocean
776,VB WILHELMSHAVEN,Germany,211282710,Tug,372,163,1998,North Sea
777,DEUTSCHLAND,Germany,211188000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
778,CLEMENTINE,Belgium,205451000,Ro-Ro Cargo,4050,9655,1997,North Sea
779,CHINA TRIUMPH,Hong Kong,477091400,Bulk Carrier,15000,203028,2011,North Pacific Ocean
780,CASTELO DE SINES,Portugal,263624000,Tug,360,304,2009,North Atlantic Ocean
781,MSC SAMIRA III,Liberia,636020952,Container Ship,6360,34295,2009,Kattegat
782,FLORICA,Vanuatu,577459000,General Cargo,1495,3332,1990,Aegean Sea
783,IRMGARD,Cayman Is,319137500,Bulk Carrier,5400,38167,2012,Baltic Sea
784,INEBOLU,Malta,249732000,Oil/Chemical Tanker,1751,6008,1999,Aegean Sea
785,REGGANE,Liberia,636011212,Lpg Tanker,8280,54592,1999,Alboran Sea
786,OCEAN RESEARCHER,United Kingdom,235011460,Research/Survey Vessel,980,817,1984,North Sea
787,COTENTIN,France,228263800,Ro-Ro/Passenger Ship,4455,6200,2007,English Channel
788,MISTRAL,Portugal,255805937,Container Ship,3082,11254,2008,Kattegat
789,VB SCHELDE,Malta,249532000,Tug,280,150,2008,North Sea
790,SEA CHARLIE,Netherlands,244177000,Tug,234,200,2008,Coral Sea
791,MSC LAUSANNE,Malta,229384000,Container Ship,11320,63638,2005,North Sea
792,CDRY BROWN,Italy,247292400,General Cargo,1926,8049,2010,Adriatic Sea
793,VB ALBORAN,Spain,224550000,Tug,308,566,1998,North Atlantic Ocean
794,LEVANT HORIZON,Panama,374222000,General Cargo,2318,6917,1997,Persian Gulf
795,NYSTEIN,Norway,258824000,General Cargo,913,2489,1995,North Sea
796,TIDE NAVIGATOR,Netherlands,245086000,General Cargo,2124,8200,2011,Baltic Sea
797,KOKUSHO MARU,Japan,431000783,Oil/Chemical Tanker,650,1234,2009,North Pacific Ocean
798,WESTFALEN,Germany,211200690,Ro-Ro/Passenger Ship,1014,326,1972,North Sea
799,ANL WANGARATTA,Malta,215167000,Container Ship,8613,50596,2008,Alboran Sea
800,ANDROMEDA LEADER,Panama,356571000,Vehicles Carrier,6400,21443,2004,North Pacific Ocean
801,ARCHON MICHAEL,Palau,511100571,General Cargo,1040,1600,1979,Aegean Sea
802,KINDEACE,United Kingdom,235058304,Tug,363,255,2005,Irish Sea and St. George's Channel
803,MICHALIS,Marshall Is,538004166,Bulk Carrier,5400,33723,2011,Aegean Sea
804,ONE OLYMPUS,Singapore,563048400,Container Ship,14740,99563,2007,North Pacific Ocean
805,CABO SAN ANTONIO,Panama,355442000,Oil Products Tanker,7524,63589,2008,North Pacific Ocean
806,FALESIA,Italy,247013600,Oil/Chemical Tanker,3000,5213,2001,Alboran Sea
807,MUTAWA 305,UAE,470438000,Anchor Handling Vessel,770,1102,2011,Persian Gulf
808,ASAD,UAE,470975000,Tug,264,150,2008,Persian Gulf
809,GRANDE GHANA,Italy,247264700,Ro-Ro Cargo,6720,25000,2009,North Sea
810,GNS HOPE,Korea,441957000,Bulk Carrier,7296,68591,1994,Japan Sea
811,EDWARD J MORAN,USA,367108030,Tug,330,228,2006,North Atlantic Ocean
812,OPHELIA,Russia,273345030,Oil/Chemical Tanker,1740,6400,1981,Gulf of Finland
813,DINA SCOUT,Norway,257909000,Offshore Supply Ship,1232,3200,2013,North Sea
814,COASTAL CHARIOT,Netherlands,244770069,Work Vessel,396,247,2014,Baltic Sea
815,SVITZER MARS,Denmark,220259000,Tug,330,175,2004,Kattegat
816,NCL AVEROY,Portugal,255805587,Container Ship,3082,11206,2006,Norwegian Sea
817,CHEM VENUS,Liberia,636018039,Oil/Chemical Tanker,3480,19888,2004,English Channel
818,BRUVIK,Norway,257209600,Passenger/Cargo Ship,360,18,1949,Norwegian Sea
