,Name,Country,MMSI,Type,Size,DWT,Year,Area
819,ROBIN HOOD,Germany,218795000,Ro-Ro/Passenger Ship,4654,6538,1995,Baltic Sea
820,ANASTASIA K,St Vincent Grenadines,376427000,Yacht,376,85,2014,Balearic Sea
821,MARJA,Netherlands,245451000,Container Ship,1818,5216,1995,North Sea
822,BESIKTAS ICELAND,Malta,229668000,Oil/Chemical Tanker,2214,7700,2007,North Sea
823,UBC CORK,Cyprus,210055000,Cement Carrier,2340,8388,2009,North Sea
824,CRACOVIA,Bahamas,311000671,Ro-Ro/Passenger Ship,4320,8058,2002,Baltic Sea
825,LANGELAND,Denmark,219016938,Ro-Ro/Passenger Ship,1764,972,2012,Kattegat
826,MSC IRENE,Panama,355233000,Container Ship,18615,162867,2010,North Sea
827,BOKA ATLANTIS,Marshall Is,538003646,Diving Support Vessel,2552,5662,2011,North Sea
828,ELIZABETH RIVER,Hong Kong,477070400,Bulk Carrier,6080,56035,2005,Alboran Sea
829,SERAPHIM SAROVSKIY,Russia,273334800,General Cargo,1680,3997,1986,Sea of Marmara
830,SIEM TOPAZ,Norway,257709000,Anchor Handling Vessel,2002,4250,2010,Great Australian Bight
831,GRANDE CAMEROON,Italy,247289800,Ro-Ro Cargo,6752,26652,2010,Tyrrhenian Sea
832,NS MERMAID,Sierra Leone,667001726,General Cargo,960,2302,1985,Adriatic Sea
833,SEA BIRD,Marshall Is,538009189,Bulk Carrier,7328,82177,2011,Mediterranean Sea - Eastern Basin
834,PRESIDENT CLEVELAND,USA,303340000,Container Ship,12000,84155,2012,North Pacific Ocean
835,ALYTUS,Cyprus,210355000,Bulk Carrier,5022,36782,2011,Baltic Sea
836,BALTIC ADVANCE,Cyprus,212182000,Oil/Chemical Tanker,4914,37332,2006,Baltic Sea
837,BRUVIK,Norway,257209600,Passenger/Cargo Ship,360,18,1949,Norwegian Sea
838,AASTUN,Portugal,255768000,General Cargo,1596,6100,2006,North Sea
839,YC COSMOS,Korea,441878000,Oil/Chemical Tanker,1680,5631,2008,North Pacific Ocean
840,EKEN,Faroe Is,231843000,General Cargo,1246,4775,2003,North Sea
841,PETREL S,Liberia,636019558,Bulk Carrier,3525,19101,2006,Aegean Sea
842,GROSSE FREIHEIT,Portugal,255806328,General Cargo,1712,5465,2012,Baltic Sea
843,RIX GULF,Portugal,255806275,General Cargo,1380,5400,2008,Kattegat
844,LOVUND EXPRESS,Norway,259664000,Passengers Ship,176,11,2006,Norwegian Sea
845,HAPPY PENGUIN,United Kingdom,235095979,Lpg Tanker,2260,8643,2013,North Sea
846,JUPITER SUN,Liberia,636016504,Crude Oil Tanker,10248,115577,2007,Sea of Marmara
847,SILVER STORM,Norway,257918000,Reefer,1568,4000,1998,North Sea
848,AZIMUT,Russia,273438740,Offshore Supply Ship,1184,3662,2003,Barentsz Sea
849,FALKVIK,Norway,258315000,General Cargo,459,615,1965,North Sea
850,HELGOEY TIND,Norway,257011900,High speed craft,200,11,2010,North Sea
851,ALMAK,Russia,273317270,Trawler,462,358,2001,Norwegian Sea
852,KEY WEST,Gibraltar,236668000,Oil/Chemical Tanker,1260,3741,1992,Norwegian Sea
853,HY CRYSTAL,Singapore,566751000,Bunkering Tanker,516,981,2013,Singapore Strait
854,TRUBADUREN,Sweden,265579090,Passengers Ship,320,51,1966,Kattegat
855,SUZDAL,Russia,273444330,Oil Products Tanker,2397,5600,2003,Black Sea
856,STOERTEBEKER,Germany,211232500,Ro-Ro Cargo,450,260,1991,North Sea
857,MSC KYMEA,Liberia,636020701,Container Ship,4806,23639,2006,Japan Sea
858,FAIRPLAY 21,Antigua Barbuda,305435000,Tug,420,260,1997,North Sea
859,BASEN,Norway,257062400,General Cargo,423,581,1966,Baltic Sea
860,FEED RANA,Norway,257035870,General Cargo,1260,4485,2004,Skaggerak
861,EDMY,Portugal,255806175,General Cargo,1770,7250,2002,North Sea
862,VITALITY,United Kingdom,232024448,General Cargo,1350,4181,2009,North Sea
863,TRUBADUREN,Sweden,265579090,Passengers Ship,320,51,1966,Kattegat
864,IEVOLI BLACK,Italy,247332100,Anchor Handling Vessel,1120,2064,2010,Inner Seas off the West Coast of Scotland
865,COTE DES FLANDRES,France,228085000,Ro-Ro/Passenger Ship,5236,7178,2005,North Sea
866,ELBWINTER,Cyprus,212008000,Container Ship,3322,13172,2008,North Sea
867,LECKO,Netherlands,244063000,General Cargo,1157,4775,2003,North Atlantic Ocean
868,MINERVA VIRGO,Greece,240730000,Oil/Chemical Tanker,5856,50921,2006,Gulf of Finland
869,MSC KYMEA,Liberia,636020701,Container Ship,4806,23639,2006,Japan Sea
870,BUGSIER 21,Antigua Barbuda,305173000,Tug,372,160,2000,North Sea
871,CELTIC COMMANDER,United Kingdom,232033026,General Cargo,1484,5780,2006,Sea of Marmara
872,VITALITY,United Kingdom,232024448,General Cargo,1350,4181,2009,North Sea
873,SEAMERIT,Malta,215263000,Oil Products Tanker,5096,39441,2002,North Sea
874,TUZLA,Vanuatu,577537000,General Cargo,1204,3943,1980,Sea of Marmara
875,ALTAY,Marshall Is,538004502,Bulk Carrier,2040,7448,2006,Aegean Sea
876,SPIRIT OF FRANCE,Cyprus,209490000,Ro-Ro/Passenger Ship,6816,9884,2011,North Sea
877,CDRY BROWN,Italy,247292400,General Cargo,1926,8049,2010,Adriatic Sea
878,LAGANBORG,Netherlands,244297000,General Cargo,1722,7350,2008,Baltic Sea
879,SVITZER MUIDEN,Netherlands,246115000,Tug,360,226,2004,North Sea
880,COSCO ANTWERP,United Kingdom,235068025,Container Ship,10920,68910,2001,Indian Ocean
881,SCARLET LADY,Malta,215044000,Bulk Carrier,3000,75336,2001,Sea of Marmara
882,MSC ALICANTE,Liberia,636092212,Container Ship,10800,74477,2011,North Sea
883,RMS BAERL,Antigua Barbuda,304791000,General Cargo,1200,2895,1999,Celtic Sea
884,NORBAR,Norway,257152000,General Cargo,902,2500,1995,North Sea
885,WIGHT LIGHT,United Kingdom,235064784,Ro-Ro/Passenger Ship,992,348,2008,English Channel
886,ROCKPIPER,Cyprus,209449000,Pipe Burying Vessel,5724,26675,2012,North Sea
887,VLADIVOSTOK,Cyprus,209389000,Container Ship,4784,23200,1998,Java Sea
888,FJORDGLYTT,Norway,257640900,High speed craft,200,15,2000,Norwegian Sea
889,JOHN AUGUSTUS ESSBER,Portugal,255806060,Oil/Chemical Tanker,1904,6870,2010,Baltic Sea
890,ALSIA SWAN,Malta,248359000,Oil/Chemical Tanker,1785,5717,2009,North Sea
891,MSC SHANNON,Panama,354540000,Container Ship,7552,46600,1991,North Sea
892,BONA SEA,Norway,258041000,General Cargo,888,1505,1986,North Sea
893,BAROY,Norway,257741000,Ro-Ro/Passenger Ship,1751,650,2012,Norwegian Sea
894,ALAND,United Kingdom,235050837,General Cargo,1972,7055,2007,Baltic Sea
895,HAM 316,Netherlands,244521000,Trailing Suction Hopper Dredger,2838,14389,1998,North Sea
896,SL YALLARM,Australia,503642000,Tug,360,304,2010,Coral Sea
897,ODESSA 1,Comoros,616999005,General Cargo,1620,3227,1981,Aegean Sea
898,HASAN G,Guyana,750994000,General Cargo,1785,6830,1996,Aegean Sea
899,INCE BEYLERBEYI,Singapore,563088400,Bulk Carrier,6368,61429,2012,Mediterranean Sea - Eastern Basin
900,URAN,Russia,273446880,Tug,180,89,1987,Gulf of Finland
901,OMSKIY-111,Russia,273459460,General Cargo,1620,3197,1983,Mediterranean Sea - Eastern Basin
902,PS GENOVA,Italy,247287800,Oil Products Tanker,10206,108983,2010,Aegean Sea
903,ASAD,UAE,470975000,Tug,264,150,2008,Persian Gulf
904,APILIOTIS,Greece,240438000,Oil Products Tanker,1078,1975,2006,Aegean Sea
905,GALILEAN 77,St Kitts Nevis,341328000,Oil/Chemical Tanker,1079,3232,1991,North Sea
906,ALTAY,Marshall Is,538004502,Bulk Carrier,2040,7448,2006,Aegean Sea
907,FOS ENERGY,Marshall Is,538009637,Oil/Chemical Tanker,5856,46185,2006,Persian Gulf
908,GROSSE FREIHEIT,Portugal,255806328,General Cargo,1712,5465,2012,Baltic Sea
909,ASTERIX,Canada,316030879,Container Ship,6222,23792,2010,North Atlantic Ocean
910,MSC ALICANTE,Liberia,636092212,Container Ship,10800,74477,2011,North Sea
911,JAG LEELA,India,419001223,Crude Oil Tanker,10248,105525,2011,North Pacific Ocean
912,PELLWORM 1,Germany,211255580,Ro-Ro/Passenger Ship,720,310,1997,North Sea
913,BERLIN,Germany,211727510,Ro-Ro/Passenger Ship,4590,5000,2014,Baltic Sea
914,MAINTAL,Portugal,255806439,General Cargo,1144,3703,2006,North Sea
915,SVITZER IDUN,Denmark,219024597,Tug,190,52,2006,Kattegat
916,FENJA,Denmark,219000604,Ro-Ro/Passenger Ship,700,250,1998,North Sea
917,CLEMENTINE,Belgium,205451000,Ro-Ro Cargo,4050,9655,1997,North Sea
918,LILY B,Antigua Barbuda,304010763,General Cargo,1300,4433,1997,Irish Sea and St. George's Channel
919,ALAND,United Kingdom,235050837,General Cargo,1972,7055,2007,Baltic Sea
920,LADY MARIELLA,Italy,247430200,Oil/Chemical Tanker,5124,39316,2013,Ionian Sea
921,ULTRA GUJARAT,Liberia,636015559,Bulk Carrier,6400,61671,2012,Sea of Marmara
922,NORMAND SUPPORTER,Norway,257337000,Multi Purpose Offshore Vessel,1880,5300,2012,North Sea
923,JOHN AUGUSTUS ESSBER,Portugal,255806060,Oil/Chemical Tanker,1904,6870,2010,Baltic Sea
924,HENRIKE,Germany,218858000,General Cargo,1068,3171,2000,North Sea
925,DESNA STAR,Liberia,636020605,Oil/Chemical Tanker,2580,12551,2010,North Sea
926,UBC CORK,Cyprus,210055000,Cement Carrier,2340,8388,2009,North Sea
927,KRISTIN SCHEPERS,Portugal,255806436,Container Ship,3102,9313,2007,North Sea
928,VISSEL,Luxembourg,253736000,Oil Products Tanker,744,1561,2007,North Sea
929,SEAMARLIN,Germany,218085000,Oil Products Tanker,6016,40549,2007,English Channel
930,MORNING CECILIE,Panama,370869000,Vehicles Carrier,6368,22699,2008,Balearic Sea
931,KAPITAN PSHENITSIN,Russia,273344600,Oil Products Tanker,2346,5596,1987,Black Sea
932,CLIPPER SKY,Norway,257309000,Lpg Tanker,6560,44807,2004,Alboran Sea
933,JANAS,Italy,247057100,Ro-Ro/Passenger Ship,5564,4700,2002,Tyrrhenian Sea
934,SCARLET LADY,Malta,215044000,Bulk Carrier,3000,75336,2001,Sea of Marmara
935,ULTRA GUJARAT,Liberia,636015559,Bulk Carrier,6400,61671,2012,Sea of Marmara
936,GRANDE GHANA,Italy,247264700,Ro-Ro Cargo,6720,25000,2009,North Sea
937,NORDIC ACE,Bahamas,309586000,Vehicles Carrier,3700,7800,2007,North Sea
938,ONEGO,Russia,273219190,General Cargo,902,2305,1983,Kattegat
939,JOHN AUGUSTUS ESSBER,Portugal,255806060,Oil/Chemical Tanker,1904,6870,2010,Baltic Sea
940,FENJA,Denmark,219000604,Ro-Ro/Passenger Ship,700,250,1998,North Sea
941,HENRIKE  SCHEPERS,Antigua Barbuda,305268000,Container Ship,3102,9231,2008,English Channel
942,ESPERANZA,Honduras,334991000,General Cargo,1335,4145,1984,Sea of Marmara
943,UBC CORK,Cyprus,210055000,Cement Carrier,2340,8388,2009,North Sea
944,SCALA,Liberia,636012769,General Cargo,1955,6826,2005,Mediterranean Sea - Eastern Basin
945,METEORA,Italy,247284100,Oil/Chemical Tanker,5425,40045,2009,Aegean Sea
946,HASAN G,Guyana,750994000,General Cargo,1785,6830,1996,Aegean Sea
947,DELTA TOLMI,Liberia,636020131,Crude Oil Tanker,13152,157488,2010,Mediterranean Sea - Eastern Basin
948,GALILEAN 77,St Kitts Nevis,341328000,Oil/Chemical Tanker,1079,3232,1991,North Sea
949,SEAMARLIN,Germany,218085000,Oil Products Tanker,6016,40549,2007,English Channel
950,ODESSA 1,Comoros,616999005,General Cargo,1620,3227,1981,Aegean Sea
951,INCE BEYLERBEYI,Singapore,563088400,Bulk Carrier,6368,61429,2012,Mediterranean Sea - Eastern Basin
952,QUEEN MAYA,Panama,373799000,Oil Products Tanker,2667,11980,1995,Persian Gulf
953,OMSKIY-111,Russia,273459460,General Cargo,1620,3197,1983,Mediterranean Sea - Eastern Basin
954,PS GENOVA,Italy,247287800,Oil Products Tanker,10206,108983,2010,Aegean Sea
955,TATLISU,Marshall Is,538006581,Oil/Chemical Tanker,1792,8521,2003,Aegean Sea
956,APILIOTIS,Greece,240438000,Oil Products Tanker,1078,1975,2006,Aegean Sea
957,EBENEZER,Australia,503000370,General Cargo,336,1000,1996,Tasman Sea
958,M\T T.GONUL,Turkey,271002726,Oil/Chemical Tanker,2508,10873,2009,Aegean Sea
959,DESNA STAR,Liberia,636020605,Oil/Chemical Tanker,2580,12551,2010,North Sea
960,CLEMENTINE,Belgium,205451000,Ro-Ro Cargo,4050,9655,1997,North Sea
961,OBOOR,Egypt,622123219,Trailing Suction Hopper Dredger,1440,10801,1984,Mediterranean Sea - Eastern Basin
962,MAYFIELD,Panama,355861000,General Cargo,1302,4300,2008,Aegean Sea
963,EVER LEADING,United Kingdom,235093619,Container Ship,15410,104409,2012,North Atlantic Ocean
964,KRISTIN SCHEPERS,Portugal,255806436,Container Ship,3102,9313,2007,North Sea
965,FAIRPLAY BENTAYGA,Antigua Barbuda,305658000,Tug,341,167,1997,North Sea
966,ARGO-1,Netherlands,246177000,Trailing Suction Hopper Dredger,880,2284,1983,North Sea
967,FREDERIK,Antigua Barbuda,304374000,Container Ship,3875,18457,2005,North Atlantic Ocean
968,DEUTSCHLAND,Germany,211188000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
969,KIMTEK 1,Singapore,565603000,Oil Products Tanker,1638,4999,2007,Singapore Strait
970,HAM 316,Netherlands,244521000,Trailing Suction Hopper Dredger,2838,14389,1998,North Sea
971,ACHILLEAS,Greece,240184000,Ro-Ro/Passenger Ship,1615,918,1987,Aegean Sea
972,ESVAGT CONTENDER,Denmark,219011205,Standby Safety Vessel,552,640,2008,North Sea
973,SL YALLARM,Australia,503642000,Tug,360,304,2010,Coral Sea
974,BRISBANE,Australia,503380000,Trailing Suction Hopper Dredger,1344,3600,2000,Coral Sea
975,PRESIDENT CLEVELAND,USA,303340000,Container Ship,12000,84155,2012,North Pacific Ocean
976,SD OBAN,United Kingdom,232004686,Naval/Naval Auxiliary Vessel,189,109,2000,English Channel
977,ELYROS,Greece,240685000,Ro-Ro/Passenger Ship,5184,5590,1998,Adriatic Sea
978,KINDEACE,United Kingdom,235058304,Tug,363,255,2005,Irish Sea and St. George's Channel
979,VB HUDSON,Malta,249525000,Tug,280,150,2008,North Sea
980,WLADYSLAW ORKAN,Malta,248160000,General Cargo,5600,30435,2003,Singapore Strait
981,HELGE,Netherlands,244750397,General Cargo,1246,5000,2013,Skaggerak
982,DUTCH POWER,Netherlands,246607000,Tug,300,130,2009,Baltic Sea
983,ACHILLEAS,Greece,240184000,Ro-Ro/Passenger Ship,1615,918,1987,Aegean Sea
984,FLORICA,Vanuatu,577459000,General Cargo,1495,3332,1990,Aegean Sea
985,PRESIDENT CLEVELAND,USA,303340000,Container Ship,12000,84155,2012,North Pacific Ocean
986,ALEXANDRA G,Greece,240688000,Bunkering Tanker,888,2190,1974,Aegean Sea
987,CASTELO DE SINES,Portugal,263624000,Tug,360,304,2009,North Atlantic Ocean
988,ROMSDALSFJORD,Norway,258329500,Ro-Ro/Passenger Ship,1968,857,2010,Norwegian Sea
989,PERFORMER,Netherlands,244989000,General Cargo,1638,6500,2007,North Sea
990,MN CALAO,France,228027900,Ro-Ro Cargo,4480,12026,2013,Persian Gulf
991,FAIRPLAY-31,Germany,218143000,Tug,456,508,2009,Baltic Sea
992,MSC BRIDGE,Cyprus,212184000,Ro-Ro Cargo,5460,12350,1998,Tyrrhenian Sea
993,MAERSK TUKANG,Singapore,565825000,Container Ship,14276,107404,2008,North Atlantic Ocean
994,HIMS 12,Panama,371928000,Offshore Supply Ship,1445,3750,2014,Persian Gulf
995,COTENTIN,France,228263800,Ro-Ro/Passenger Ship,4455,6200,2007,English Channel
996,SIDDIS SAILOR,Norway,258268000,Offshore Supply Ship,1700,4800,2007,North Sea
997,SEASHARK,Germany,211135000,Oil/Chemical Tanker,4984,32302,2004,Baltic Sea
998,KEY BORA,Gibraltar,236385000,Oil/Chemical Tanker,1302,3502,2006,North Sea
999,NYSTEIN,Norway,258824000,General Cargo,913,2489,1995,North Sea
1000,HAGLAND BORG,Norway,258709000,General Cargo,1144,3703,1997,Skaggerak
1001,BUTE,United Kingdom,235025112,Ro-Ro/Passenger Ship,1080,508,2005,Inner Seas off the West Coast of Scotland
1002,HABIP BAYRAK,Malta,229674000,Oil/Chemical Tanker,1984,8405,2010,Aegean Sea
1003,APOLLON HELLAS,Greece,237002600,Ro-Ro/Passenger Ship,1288,1032,1990,Aegean Sea
1004,BAYAN,Singapore,565058000,Oil Products Tanker,1335,3600,2010,Singapore Strait
1005,ANAFI WARRIOR,Greece,241408000,Crude Oil Tanker,9954,107593,2009,Aegean Sea
1006,SEAVOYAGER,Hong Kong,477144300,Crude Oil Tanker,10206,109085,2009,North Sea
1007,BESIKTAS ICELAND,Malta,229668000,Oil/Chemical Tanker,2214,7700,2007,North Sea
1008,RO MASTER,Norway,259183000,Fish Carrier,1080,3090,2007,Norwegian Sea
1009,QI HANG,Sierra Leone,667001761,General Cargo,1105,3720,1991,Philippine Sea
1010,ALTAY,Marshall Is,538004502,Bulk Carrier,2040,7448,2006,Aegean Sea
1011,COSTA LUMINOSA,Italy,247257900,Passengers Ship,9408,7600,2009,Mediterranean Sea - Western Basin
1012,OSTBORG,Netherlands,245180000,General Cargo,1157,3792,2001,North Sea
1013,BERGENSFJORD,Denmark,219348000,Ro-Ro/Passenger Ship,4590,3900,2014,Skaggerak
1014,ILE D OUESSANT,France,228370600,Offshore Supply Ship,1653,4860,2011,North Sea
1015,BAYAN,Singapore,565058000,Oil Products Tanker,1335,3600,2010,Singapore Strait
1016,APL CHANGI,Singapore,566882000,Container Ship,20247,150166,2013,English Channel
1017,NOBLE VALOUR,Singapore,563009850,Tug,208,103,2007,Singapore Strait
1018,MS SOPHIE,Liberia,636090888,Oil/Chemical Tanker,5040,40248,2004,Singapore Strait
1019,TASIK MELATI,Malaysia,533130272,Bulk Carrier,13005,180310,2004,Eastern China Sea
1020,FLUVIUS TEIGN,Barbados,314021000,General Cargo,972,3680,2005,North Sea
1021,SURE SHAMAL,Malta,256002311,Crew Boat,260,24,2011,North Sea
1022,NINA 1,St Vincent Grenadines,377764000,General Cargo,780,1485,1984,North Sea
1023,TINA,Netherlands,245301000,General Cargo,1144,3500,2010,North Sea
1024,FAIRPLAY-54,Germany,211216480,Tug,252,102,1991,North Sea
1025,PAVINO,Panama,356161000,Oil/Chemical Tanker,1802,5707,2005,North Sea
1026,VF TANKER-11,Russia,273357860,Oil Products Tanker,2397,6980,2012,North Sea
1027,SUSANNE THERESA,Denmark,220447000,Oil/Chemical Tanker,1302,3464,2006,North Sea
1028,RMS RATINGEN,Liberia,636093015,General Cargo,968,2644,2002,Baltic Sea
1029,HAV PIKE,Antigua Barbuda,304036000,General Cargo,1144,3718,1994,North Sea
1030,PERSEUS,Latvia,275524000,Container Ship,2394,7594,1995,North Sea
1031,KRISTIN SCHEPERS,Portugal,255806436,Container Ship,3102,9313,2007,North Sea
1032,PATNOS,Portugal,255718000,Oil/Chemical Tanker,3312,16714,2006,North Sea
1033,SUPER FAST BALEARES,Spain,224537000,Ro-Ro Cargo,5434,10140,2010,Aegean Sea
1034,ANNA G,Cyprus,212075000,Container Ship,1818,5330,1994,North Sea
1035,LADY CLARA,Antigua Barbuda,305015000,General Cargo,1032,3637,2007,North Sea
1036,ILE D OUESSANT,France,228370600,Offshore Supply Ship,1653,4860,2011,North Sea
1037,AM TUBARAO,Liberia,636015171,Bulk Carrier,8740,93225,2011,Baltic Sea
1038,VB ROENNEBECK,Germany,211717470,Tug,270,144,1977,North Sea
1039,DHB DAUNTLESS,United Kingdom,232004784,Tug,300,234,2000,English Channel
1040,SUSANNE THERESA,Denmark,220447000,Oil/Chemical Tanker,1302,3464,2006,North Sea
1041,SVITZER MUIDEN,Netherlands,246115000,Tug,360,226,2004,North Sea
1042,LADY CARINA,Netherlands,244621000,General Cargo,1744,5360,2001,North Sea
1043,BLUE STAR PATMOS,Greece,241159000,Ro-Ro/Passenger Ship,3190,2775,2012,Aegean Sea
1044,ISEFJORD,Denmark,219017815,Ro-Ro/Passenger Ship,600,184,2013,Kattegat
1045,SLEIPNER-FUR,Denmark,219000859,Ro-Ro/Passenger Ship,770,286,1996,North Sea
1046,HAGLAND BORG,Norway,258709000,General Cargo,1144,3703,1997,Skaggerak
1047,SVETI MARKO,Croatia,238085840,Tug,280,145,2007,Adriatic Sea
1048,FILIA ARIEA,Netherlands,244662000,General Cargo,1260,2950,2008,Singapore Strait
1049,STINNES ZEPHIR,Antigua Barbuda,304332000,General Cargo,3168,17273,2011,Bay of Biscay
1050,LAUNKALNE,Cyprus,210388000,General Cargo,1848,11000,2010,Kattegat
1051,STENA GERMANICA,Sweden,266331000,Ro-Ro/Passenger Ship,7230,10670,2001,Baltic Sea
1052,MIKHAIL LOMONOSOV,Russia,273343810,General Cargo,1683,4805,2000,Gulf of Finland
1053,EMBLA,Norway,257082000,Co2 Tanker,1079,3480,2005,North Sea
1054,BG ONYX,Portugal,255772000,Container Ship,3102,9298,2010,English Channel
1055,DZ HEZE,Liberia,636016265,Bulk Carrier,6048,52388,2004,Japan Sea
1056,MED SETUBAL,Portugal,263602553,Tug,330,118,1991,North Atlantic Ocean
1057,TORNEDALEN,Portugal,255620000,General Cargo,1500,5572,2000,Gulf of Finland
1058,MAERSK TUKANG,Singapore,565825000,Container Ship,14276,107404,2008,North Atlantic Ocean
1059,SEA CITRINE VI,Panama,357633000,Oil Products Tanker,2750,12633,1999,Persian Gulf
1060,STENA SCANDINAVICA,Sweden,266343000,Ro-Ro/Passenger Ship,7290,12200,2003,Kattegat
1061,VB SANDON,United Kingdom,235074754,Tug,360,255,1996,Irish Sea and St. George's Channel
1062,NO3 GREEN PIONEER,Korea,441102000,Oil/Chemical Tanker,1395,4052,2003,Yellow Sea
1063,RAS TOMB,Algeria,605076190,Oil/Chemical Tanker,1744,5016,2010,Ionian Sea
1064,WCD AL WASMIYA,Bahrain,408720000,Utility Vessel,256,650,1998,Persian Gulf
1065,AMETHYST,Russia,273445370,General Cargo,1620,3600,1979,Aegean Sea
1066,MSC BRIDGE,Cyprus,212184000,Ro-Ro Cargo,5460,12350,1998,Tyrrhenian Sea
1067,AYER MANIS,Singapore,563001270,Water Tanker,387,499,1993,Singapore Strait
1068,FINNPARTNER,Sweden,266262000,Ro-Ro/Passenger Ship,5124,11558,1994,Baltic Sea
1069,ROGALAND,Norway,257256500,Passengers Ship,396,508,1929,North Sea
1070,LS ANNE,Gibraltar,236476000,Oil/Chemical Tanker,1785,5757,2008,English Channel
1071,SINYAR,UAE,470327000,Tug,144,134,2006,Persian Gulf
1072,MORNING CECILIE,Panama,370869000,Vehicles Carrier,6368,22699,2008,Balearic Sea
1073,OSTBORG,Netherlands,245180000,General Cargo,1157,3792,2001,North Sea
1074,FUREVIK,Faroe Is,231701000,Oil/Chemical Tanker,5520,37082,2005,North Sea
1075,HVITANES,Faroe Is,231201000,Ro-Ro Cargo,1648,4380,1980,Gulf of Finland
1076,ESVAGT CHARLIE,Denmark,219297000,Standby Safety Vessel,320,414,1976,North Sea
1077,CAPTAIN D LEMPESIS,Liberia,636020117,Bulk Carrier,6270,53466,2005,Kattegat
1078,YOUNGHEUNG,Marshall Is,538007072,Bulk Carrier,13140,179221,2010,The Coastal Waters of Southeast Alaska and British Columbia
1079,MAERSK TUKANG,Singapore,565825000,Container Ship,14276,107404,2008,North Atlantic Ocean
1080,PS GENOVA,Italy,247287800,Oil Products Tanker,10206,108983,2010,Aegean Sea
1081,APILIOTIS,Greece,240438000,Oil Products Tanker,1078,1975,2006,Aegean Sea
1082,M\T T.GONUL,Turkey,271002726,Oil/Chemical Tanker,2508,10873,2009,Aegean Sea
1083,GRANDE ELLADE,Italy,247019600,Vehicles Carrier,6006,18885,2001,Aegean Sea
1084,GLOMAR VANTAGE,Panama,372867000,Research/Survey Vessel,672,1250,1982,Baltic Sea
1085,NEW HARVEST,Panama,351201000,Bulk Carrier,7200,77834,2004,Aegean Sea
1086,STENA SCANDINAVICA,Sweden,266343000,Ro-Ro/Passenger Ship,7290,12200,2003,Kattegat
1087,AMETHYST,Russia,273445370,General Cargo,1620,3600,1979,Aegean Sea
1088,ISEFJORD,Denmark,219017815,Ro-Ro/Passenger Ship,600,184,2013,Kattegat
1089,SINYAR,UAE,470327000,Tug,144,134,2006,Persian Gulf
1090,INUKSUK 1,Canada,316011760,Trawler,840,575,1987,Kattegat
1091,HVITANES,Faroe Is,231201000,Ro-Ro Cargo,1648,4380,1980,Gulf of Finland
1092,BUBBA BOOSH,Marshall Is,538009312,Bulk Carrier,6048,54958,2014,Aegean Sea
1093,STRATIS Z,Panama,374768000,Anchor Handling Vessel,826,1385,2007,North Atlantic Ocean
